datetime,temp_max,temp_min,temp_mean,pressure_mean,pressure_min,wind_max,wind_mean,humidity_max,humidity_mean,precip_total,cloud_mean,temp_max_ma3,temp_max_ma7,temp_mean_ma3,temp_mean_ma7,pressure_mean_ma3,pressure_mean_ma7,wind_max_ma3,wind_max_ma7,humidity_mean_ma3,humidity_mean_ma7,temp_max_grad1,temp_max_grad3,pressure_mean_grad1,pressure_mean_grad3,humidity_mean_grad1,humidity_mean_grad3,temp_trend7,season_sin,season_cos,temp_range,pressure_deficit,event_heat,event_cold,event_wind,event_rain,event_extreme,target
2020-01-07,16.916351,7.8307495,13.139506,1000.9888,1000.41815,1.7574221,1.5756888,87.756134,70.3391,0.0,0.118029535,16.143157958984375,15.878662109375,12.91727383931478,12.981260844639369,999.8090413411459,1001.0942470005581,2.104189316431681,2.026126503944397,74.01678212483723,75.57973044259208,1.5974121,2.6994019,1.5744019,-0.7133179,-7.2637024,-6.145302,-0.0258581978934148,0.1202080448993527,0.9927487224577402,9.085602,-0.10547746930808444,0,0,0,0,0,0.0
2020-01-08,17.107605,7.4019165,13.51411,999.0136,998.2397,1.3816873,0.87179,87.68943,66.19436,0.0,0.18809603,16.4476318359375,15.927773611886161,12.978329340616861,12.963383402143206,999.8055826822916,1000.7009015764509,1.5509822765986125,1.991092528615679,71.37875620524089,74.32526070731026,0.19125366,0.91342163,-1.9751587,-0.010375977,-4.144745,-7.9140778,0.2322660173688617,0.13727877211326478,0.9905324521322229,9.705688,-1.6872907366071104,0,0,0,0,0,0.0
2020-01-09,15.372803,9.048859,12.785614,998.488,998.2023,1.6178299,1.1121885,86.53019,76.388145,0.0005936136,0.18070476,16.465586344401043,15.79913330078125,13.14640998840332,12.906863348824638,999.4967854817709,1000.2452915736607,1.585646430651347,2.031555346080235,70.97386932373047,74.26656559535435,-1.7348022,0.053863525,-0.52563477,-0.9263916,10.193787,-1.2146606,0.22216360909598346,0.15430882066428117,0.9880226656636976,6.323944,-1.7573154994419156,0,0,0,0,0,0.0
2020-01-10,14.719757,9.95993,12.850067,997.33765,997.2221,2.818056,2.631011,89.25607,72.46587,0.0005936136,0.2907638,15.733388264973959,15.692369733537946,13.049930254618326,12.86323343004499,998.2797444661459,999.4240635463169,1.9391911029815674,2.1688641820635115,71.68279266357422,73.3690185546875,-0.65304565,-2.1965942,-1.1503296,-3.651123,-3.9222717,2.12677,0.05908312116350464,0.1712931441814776,0.9852201067560606,4.7598267,-2.0864170619419156,0,0,0,0,0,0.0
2020-01-11,15.934082,7.8507385,12.672292,1000.22455,999.4026,3.2199419,2.32135,70.25575,60.252323,0.0013915859,0.10252369,15.342213948567709,15.937674386160714,12.76932430267334,12.939129148210798,998.6833902994791,999.2129865373884,2.5519426266352334,2.192869016102382,69.70211410522461,71.05014964512416,1.214325,-1.173523,2.8869019,1.2109375,-12.213551,-5.9420357,-0.12579345703124986,0.1882267098432442,0.9821256058680006,8.0833435,1.0115618024553896,0,0,0,0,0,0.0
2020-01-12,16.035858,6.374115,12.041982,1000.9781,999.72064,1.5941088,1.4046211,87.6907,68.790855,0.0,0.003175904,15.563232421875,15.915056501116071,12.52144686381022,12.754991803850446,999.513427734375,999.4921439034598,2.5440355936686196,1.986126218523298,67.16968409220378,70.29049519130162,0.10177612,0.6630554,0.75354004,2.4901123,8.538532,-7.59729,-0.07862962995256585,0.2051044998686192,0.9787400799669153,9.661743,1.4859444754464448,0,0,0,0,0,0.0
2020-01-13,15.072937,6.399048,11.556539,997.4515,996.29443,1.5272083,1.1452608,86.34007,72.0718,0.00027247838,0.7026369,15.680959065755209,15.879913330078125,12.09027067820231,12.651444162641253,999.5513712565104,999.2117309570312,2.113753000895182,1.988036343029567,67.03832626342773,69.50035149710519,-0.96292114,0.35317993,-3.5266113,0.11383057,3.2809448,-0.3940735,-0.25401633126394957,0.2219215130041655,0.9750645322571948,8.673889,-1.76025390625,0,0,0,0,0,0.0
2020-01-14,14.445099,7.200165,11.724111,995.22925,994.66034,1.6389,1.304204,89.50973,74.97579,0.0003697921,0.82042235,15.18463134765625,15.526877267020089,11.774210294087728,12.449244771684919,997.8862711588541,998.3889421735491,1.5867390632629395,1.971104621887207,71.94614919026692,70.16273553030831,-0.62783813,-1.4889832,-2.222229,-4.9953003,2.9039917,14.723469,-0.25968388148716537,0.2386727660059501,0.9711000518829505,7.244934,-3.1596941266741396,0,0,0,0,0,0.0
2020-01-15,17.067627,8.687653,13.783153,997.0606,995.5159,2.7045252,2.0256207,87.63026,75.61249,0.016222194,0.5633331,15.528554280598959,15.521166120256696,12.354600588480631,12.487679481506348,996.5804443359375,998.1099417550223,1.956877867380778,2.1600814717156545,74.22002665201823,71.50818252563477,2.622528,1.0317688,1.8313599,-3.9174805,0.63669586,6.8216324,0.13121468680245466,0.255353295116187,0.9668478136052775,8.379974,-1.0493338448660552,0,0,0,0,0,0.0
2020-01-16,17.965881,8.861755,13.947551,998.80695,998.229,2.292041,1.7550688,86.63103,66.93065,0.0006228077,0.25195146,16.492869059244793,15.891605922154017,13.151604652404785,12.65367044721331,997.0322672526041,998.1555088588169,2.2118221124013266,2.2563973494938443,72.50630950927734,70.15711157662528,0.8982544,2.8929443,1.7463379,1.3554688,-8.681839,-5.1411514,0.371953691755023,0.2719581575341055,0.9623090774541486,9.104126,0.6514369419643344,0,0,0,0,0,0.0
2020-01-17,17.934937,12.827393,15.616811,1002.50665,1001.57635,1.0271761,0.8091958,82.253815,76.38843,0.07726708,0.8706115,17.656148274739582,16.350917271205358,14.449171384175619,13.048919541495186,999.4580688476562,998.8939383370536,2.007914145787557,2.0005573545183455,72.97718811035156,70.71747643607003,-0.030944824,3.4898376,3.699707,7.277405,9.457779,1.4126358,0.4234749930245526,0.288482432880609,0.9574851883550393,5.107544,3.612714494977695,0,0,0,0,0,1.0
2020-01-18,16.960327,12.3594055,14.947642,999.81366,997.1484,3.905325,2.5446286,92.41892,87.84074,1.228605,0.94835883,17.620381673177082,16.497523716517858,14.837334632873535,13.373969623020717,1000.3757527669271,998.8352399553571,2.4081807136535645,2.098469223294939,77.0532709757487,74.65867832728794,-0.9746094,-0.107299805,-2.6929932,2.7530518,11.452309,12.228249,0.4292210170200887,0.30492122465628907,0.9523775757303974,4.6009216,0.9784197126116396,0,0,0,1,1,0.0
2020-01-19,15.366577,11.791107,13.693196,990.82574,989.1289,5.8525777,5.067007,84.6361,66.985954,0.023452602,0.3669388,16.753946940104168,16.401912144252233,14.752549807230631,13.609857422964913,997.7153523763021,997.3849051339286,3.5950262546539307,2.706821918487549,77.0717061360677,74.40083530970982,-1.59375,-2.5993042,-8.987915,-7.981201,-20.854782,0.05530548,0.24209594726562472,0.3212696616923644,0.9469877530760753,3.57547,-6.559160505022305,0,0,0,0,0,0.0
2020-01-20,11.35733,8.83548,10.508718,986.5215,985.57025,7.6878085,6.811537,60.068123,54.810898,0.21130697,0.82494205,14.561411539713541,15.871111188616071,13.049852053324381,13.460168702261788,992.386962890625,995.8234776088169,5.815237045288086,3.5869076592581615,69.87919616699219,71.93499210902623,-4.009247,-6.577606,-4.3042603,-15.985168,-12.175056,-21.57753,-0.48824855259486577,0.3375228995941133,0.9413173175128471,2.5218506,-9.301993233816916,0,0,0,0,0,0.0
2020-01-21,13.560547,8.594269,11.678212,984.39606,983.7533,4.7909493,3.9277527,73.19083,64.87646,0.08238578,0.8765993,13.428151448567709,15.744746616908483,11.960041999816895,13.453611782618932,987.2477620442709,994.27587890625,6.1104451815287275,4.03720041683742,62.22443644205729,70.49223000662667,2.2032166,-3.3997803,-2.1254272,-15.417603,10.065559,-22.96428,-0.9395250592912953,0.3536761221763716,0.9353679493131483,4.966278,-9.87982177734375,0,0,0,0,0,1.0
2020-01-22,12.9157715,10.070282,11.937886,985.89935,984.9241,3.104387,2.6254628,89.36431,83.89416,0.9827322,0.9793668,12.611216227213541,15.151624407087054,11.37493864695231,13.190002305167061,985.6056315104166,992.681413922991,5.194381634394328,4.094323532921927,67.86050415039062,71.67532566615513,-0.6447754,-2.4508057,1.5032959,-4.9263916,19.0177,16.908203,-1.0536466326032354,0.3697245428906731,0.9291414114031743,2.8454895,-6.782060895647305,0,0,0,1,1,1.0
2020-01-23,14.024963,12.423126,13.317241,987.15485,986.0494,3.9592934,3.4292161,89.04315,86.924255,1.3090348,0.9885219,13.50042724609375,14.588636125837054,12.311113039652506,13.09995801108224,985.8167521158854,991.016828264509,3.9515432516733804,4.332502433231899,78.56495666503906,74.53155517578125,1.1091919,2.667633,1.2554932,0.6333618,3.030098,32.113358,-0.7723236083984374,0.38566340624360707,0.9226395488404876,1.6018372,-3.861982073102695,0,0,0,1,1,1.0
2020-01-24,15.653076,12.304596,13.976542,989.14136,987.6749,4.042076,3.3896878,92.11134,86.70569,1.4290421,0.98538643,14.19793701171875,14.262656075613839,13.077223141988119,12.865633964538574,987.3985188802084,989.1075003487723,3.701918840408325,4.763202428817749,85.84136708577473,76.00544956752232,1.6281128,2.0925293,1.9865112,4.7453003,-0.2185669,21.829231,-0.18023354666573635,0.401487989205973,0.9158642882672872,3.3484802,0.03385707310269481,0,0,0,1,1,1.0
2020-01-25,13.561462,12.746704,13.24469,987.54535,986.41327,2.9860246,2.3901856,93.5836,92.40421,1.1084615,0.8558707,14.413167317708334,13.777103969029017,13.512824376424154,12.62235505240304,987.9471842447916,987.3548845563616,3.662464698155721,4.63187381199428,88.6780522664388,76.65737479073661,-2.0916138,0.6456909,-1.5960083,1.6459961,5.6985245,8.510056,0.1300201416015632,0.4171936026123168,0.9088176373395029,0.8147583,0.19046456473211038,0,0,0,1,1,0.0
2020-01-26,14.738037,9.648804,12.836639,995.895,993.82477,2.2628255,1.6420636,93.77107,80.86999,0.006773034,0.38673618,14.650858561197916,13.687312534877233,13.35262393951416,12.499989782060895,990.8605753580729,988.0790666852679,3.096975406010946,4.119052069527762,86.6599629720052,78.64080810546875,1.1765747,0.71307373,8.34967,8.740173,-11.534225,-6.054268,0.46004486083984425,0.4327755925504312,0.901501684131884,5.0892334,7.81595284598211,0,0,0,0,0,0.0
2020-01-27,15.298157,8.274567,12.784332,997.25214,996.62164,1.6302941,1.1557599,91.90171,83.1594,0.0016251389,0.57523704,14.532552083333334,14.250287737165179,12.955220540364584,12.825077601841517,993.5641682942709,989.6120169503348,2.293048063913981,3.253692865371704,85.47786712646484,82.69059426443917,0.5601196,-0.35491943,1.3571167,8.110779,2.2894135,-3.5462875,0.2997807094029023,0.4482293417404106,0.893918596519257,7.02359,7.640119280133945,0,0,0,0,0,0.0
2020-01-28,17.440674,12.208954,15.498322,997.1254,996.57623,1.7406378,1.116079,93.54912,83.23828,0.02249893,0.8954956,15.82562255859375,14.804591587611608,13.706431070963541,13.37080751146589,996.7575276692709,991.4304983956473,1.87791911760966,2.81793407031468,82.4225565592448,85.31371198381696,2.142517,3.8792114,-0.12670898,9.580078,0.07888031,-9.165932,0.543073381696429,0.4635502709028509,0.886070621534138,5.23172,5.694928850446445,0,0,0,0,0,0.0
