datetime,temp_c_max,temp_c_min,temp_c_mean,pressure_hpa_mean,pressure_hpa_min,wind_speed_max,wind_speed_mean,humidity_max,humidity_mean,precip_mm_sum,cloud_cover_mean,temp_c_max_ma3,temp_c_max_ma7,pressure_hpa_mean_ma3,pressure_hpa_mean_ma7,wind_speed_max_ma3,wind_speed_max_ma7,humidity_mean_ma3,humidity_mean_ma7,temp_c_max_lag1,precip_mm_sum_lag1,wind_speed_max_lag1,temp_c_max_lag2,precip_mm_sum_lag2,wind_speed_max_lag2,temp_c_max_lag3,precip_mm_sum_lag3,wind_speed_max_lag3,temp_grad,pressure_grad,sin_doy,cos_doy,temp_range,heat_intensity,pressure_deficit,humidity_range,wind_spike,dry_index,pressure_norm,event_heat,event_cold,event_wind,event_rain,event_extreme,target
2010-01-17,16.92572,12.394379,15.118713,995.57526,994.3347,1.257609,0.8931568,89.81769,81.95829,0.0054982244,0.81594825,16.287007649739582,16.2877197265625,995.6554972330729,991.2109985351562,1.2652758757273357,4.272345508847918,78.12758890787761,82.68012019566127,16.68332,0.00019462743,1.1376971,15.251984,0.020202326,1.4005215,17.347992,0.0,7.0739045,0.24240112,-0.3791504,0.288482432880609,0.9574851883550393,4.5313416,1.8070068,4.3642578125,7.859398,0.36445218,81.75315,1.2198026,0,0,0,0,0,0.0
2010-01-18,18.282196,12.876587,16.362347,992.27686,991.35944,3.9043524,2.805149,91.34332,86.80365,0.066377684,0.6302266,17.297078450520832,16.8275146484375,994.6021728515625,991.6887119838169,2.099886178970337,4.176032747541155,80.97725168863933,82.59420013427734,16.92572,0.0054982244,1.257609,16.68332,0.00019462743,1.1376971,15.251984,0.020202326,1.4005215,1.3564758,-3.2984009,0.30492122465628907,0.9523775757303974,5.405609,1.9198494,0.5881434849330844,4.539673,1.0992033,71.33431,0.62997305,0,0,0,0,0,0.0
2010-01-19,18.893707,16.197632,17.60796,992.9404,992.6692,5.3002996,3.4840233,98.58413,89.2203,0.15527374,0.97437644,18.03387451171875,17.15061296735491,993.5975138346354,992.3912527901786,3.487420360247294,3.6885737010410855,85.99407958984375,82.0543212890625,18.282196,0.066377684,3.9043524,16.92572,0.0054982244,1.257609,16.68332,0.00019462743,1.1376971,0.61151123,0.6635742,0.3212696616923644,0.9469877530760753,2.6960754,1.2857475,0.5491768973214448,9.363831,1.8162763,29.062887,0.7486353,0,0,0,0,0,0.0
2010-01-20,16.6008,10.777039,14.606171,995.39355,994.78174,2.3388486,1.6964678,89.563934,82.594604,0.01733157,0.91736585,17.925567626953125,17.140816824776785,993.5369466145834,993.5777675083706,3.8478335539499917,3.201890400477818,86.20618438720703,80.72777993338448,18.893707,0.15527374,5.3002996,18.282196,0.066377684,3.9043524,16.92572,0.0054982244,1.257609,-2.2929077,2.453125,0.3375228995941133,0.9413173175128471,5.823761,1.9946289,1.8157871791294156,6.96933,0.64238083,101.36486,1.1873102,0,0,0,0,0,0.0
2010-01-21,14.381439,9.806152,12.84084,994.6626,994.0577,1.1579229,1.00377,93.208084,82.04401,0.0014305116,0.6260376,16.625315348307293,16.717023577008927,994.3321940104166,994.6057041713169,2.9323570330937705,2.3567501647131786,84.61963653564453,82.14933231898716,16.6008,0.01733157,2.3388486,18.893707,0.15527374,5.3002996,18.282196,0.066377684,3.9043524,-2.2193604,-0.73095703,0.3536761221763716,0.9353679493131483,4.575287,1.5405989,0.05689348493308444,11.164078,0.15415287,82.153824,1.0565983,0,0,0,0,0,0.0
2010-01-22,15.376587,9.119049,13.283732,990.87616,988.18964,2.0854752,1.6174469,90.39065,79.92028,0.0,0.61429644,15.45294189453125,16.73482404436384,993.6441040039062,993.9541800362723,1.8607488870620728,2.454600691795349,81.5196304321289,82.38727787562779,14.381439,0.0014305116,1.1579229,16.6008,0.01733157,2.3388486,18.893707,0.15527374,5.3002996,0.9951477,-3.786438,0.3697245428906731,0.9291414114031743,6.257538,2.0928545,-3.078020368303555,10.470367,0.4680283,125.649605,0.37949657,0,0,0,0,0,1.0
2010-01-23,15.427856,12.975494,14.360759,984.05585,983.7989,4.681357,4.0355916,91.53651,85.702324,1.0850381,0.8580939,15.061960856119791,16.555472237723215,989.8648681640625,992.2543858119419,2.6415849924087524,2.9608378069741383,82.55553690592448,84.03477913992745,15.376587,0.0,2.0854752,14.381439,0.0014305116,1.1579229,16.6008,0.01733157,2.3388486,0.05126953,-6.8203125,0.38566340624360707,0.9226395488404876,2.452362,1.0670977,-8.198538643973166,5.8341827,0.6457653,35.06308,-0.8401314,0,0,0,1,1,0.0
2010-01-24,15.826782,12.941498,14.756001,990.0686,988.47797,2.556462,2.2996106,91.08947,81.15412,0.04727501,0.7040146,15.543741861979166,16.398481096540177,988.3335367838541,991.4677211216518,3.107764720916748,3.1463882412229265,82.25890858968098,83.9198978969029,15.427856,1.0850381,4.681357,15.376587,0.0,2.0854752,14.381439,0.0014305116,1.1579229,0.39892578,6.0127563,0.401487989205973,0.9158642882672872,2.8852844,1.0707808,-1.3991176060268344,9.9353485,0.25685143,54.37572,0.23508704,0,0,0,0,0,0.0
2010-01-25,16.03247,10.587524,13.591502,989.79205,987.6408,2.384171,2.082167,81.50938,71.92472,0.08539277,0.31241322,15.762369791666666,16.077091761997767,987.97216796875,991.1127493722098,3.2073299884796143,2.9292194672993253,79.59372202555339,81.7943365914481,15.826782,0.04727501,2.556462,15.427856,1.0850381,4.681357,15.376587,0.0,2.0854752,0.20568848,-0.2765503,0.4171936026123168,0.9088176373395029,5.4449463,2.4409685,-1.3206961495535552,9.584656,0.3020041,152.8684,0.18563353,0,0,0,0,0,0.0
2010-01-26,12.524506,8.996857,11.251109,984.7746,983.30695,5.1628814,4.5059123,89.563446,80.27092,0.9450231,0.8612864,14.794586181640625,15.167205810546875,988.2117513020834,989.9462018694196,3.367838144302368,2.9095882858548845,77.7832539876302,80.51585388183594,16.03247,0.08539277,2.384171,15.826782,0.04727501,2.556462,15.427856,1.0850381,4.681357,-3.507965,-5.017456,0.4327755925504312,0.901501684131884,3.527649,1.2733965,-5.17160470145086,9.292526,0.6569691,69.59727,-0.71160245,0,0,0,0,0,1.0
