datetime,temp_max,temp_min,temp_mean,pressure_mean,pressure_min,wind_max,wind_mean,humidity_max,humidity_mean,precip_total,cloud_mean,temp_max_ma3,temp_max_ma7,temp_mean_ma3,temp_mean_ma7,pressure_mean_ma3,pressure_mean_ma7,wind_max_ma3,wind_max_ma7,humidity_mean_ma3,humidity_mean_ma7,temp_max_grad1,temp_max_grad3,pressure_mean_grad1,pressure_mean_grad3,humidity_mean_grad1,humidity_mean_grad3,temp_trend7,season_sin,season_cos,temp_range,pressure_deficit,event_heat,event_cold,event_wind,event_rain,event_extreme,target
2010-01-07,13.0564575,10.548492,12.113423,969.1512,966.2447,5.36357,4.0075207,92.023445,82.81411,2.3587675,0.7730883,14.408274332682291,15.278499058314733,13.403106689453125,13.869129044669014,974.7432047526041,981.3746773856027,4.663183768590291,4.346806066376822,81.40192413330078,83.09468950544085,-1.0011902,-3.6785278,-9.965515,-8.12561,3.8772125,-5.761978,-0.38281576974051346,0.1202080448993527,0.9927487224577402,2.507965,-12.223493303571445,0,0,0,1,1,1.0
2010-01-08,9.374298,5.887024,7.8551636,983.22314,979.61206,5.7466407,4.664932,69.85718,57.252472,0.008077037,0.0547068,12.162801106770834,14.347307477678571,10.910813967386881,12.973882811410087,977.1636759440104,980.7151925223214,4.665525833765666,4.35620561667851,73.00115966796875,80.17349134172711,-3.6821594,-6.7364197,14.07196,7.2614136,-25.561638,-25.202293,-0.9276744297572544,0.13727877211326478,0.9905324521322229,3.4872742,2.507952008928555,0,1,0,0,1,1.0
2010-01-09,9.440277,4.099762,7.368927,990.0516,989.34357,3.139844,2.3978481,80.86756,64.13202,0.0,0.0005154772,10.623677571614584,13.504595075334821,9.112504641215006,12.20458984375,980.8086344401041,980.5606253487723,4.750018278757731,4.607994624546596,68.06620025634766,77.70191192626953,0.065979004,-4.6173706,6.82843,10.9348755,6.879547,-14.804878,-1.3117196219308043,0.15430882066428117,0.9880226656636976,5.340515,9.490949358258945,0,1,0,0,1,1.0
2010-01-10,6.5975037,4.9371643,5.941803,985.2121,982.6886,3.4337916,2.8427985,92.42212,82.4628,1.9017725,0.9576142,8.470692952473959,12.19598388671875,7.0552978515625,11.072444370814733,986.1622721354166,979.9990321568081,4.106758753458659,4.698475531169346,67.9490966796875,76.66130719866071,-2.8427734,-6.458954,-4.8394775,16.060913,18.33078,-0.35131073,-1.7298812866210944,0.1712931441814776,0.9852201067560606,1.6603394,5.213065011160666,0,1,0,1,1,0.0
2010-01-11,14.503632,11.00296,13.21402,988.93286,984.3808,4.5785418,3.5534303,93.99683,87.40509,0.4329876,0.903223,10.180470784505209,11.877219063895089,8.841583251953125,10.655604771205358,988.0655110677084,981.6641845703125,3.7173924446105957,4.412624188831875,77.99996948242188,76.49402182442802,7.906128,5.1293335,3.7207642,5.709717,4.9422913,30.152618,-0.8342045375279019,0.1882267098432442,0.9821256058680006,3.5006714,7.2686767578125,0,0,0,0,0,1.0
2010-01-12,16.632019,13.584991,15.19691,988.02264,985.7497,8.712513,5.585878,94.94925,92.99945,3.7856007,0.9938626,12.577718098958334,11.951690673828125,11.450910886128744,10.636300223214286,987.3892008463541,983.3871721540179,5.574948787689209,4.83732397215707,87.62244669596355,78.00040544782367,2.1283875,7.191742,-0.9102173,-2.0289307,5.5943604,28.867432,0.280023847307478,0.2051044998686192,0.9787400799669153,3.0470276,4.63547188895086,0,0,1,1,1,1.0
2010-01-13,16.669373,12.132965,14.76946,987.08795,983.4057,5.7456317,3.3057735,95.30498,91.880394,0.9404299,0.9691546,15.935007731119791,12.324794224330358,14.393463134765625,10.922815186636788,988.0144856770834,984.5259225027902,6.345562140146892,5.245790413447788,90.7616449991862,79.84947640555245,0.037353516,10.071869,-0.9346924,1.8758545,-1.1190567,9.417595,1.0863407679966521,0.2219215130041655,0.9750645322571948,4.5364075,2.562029157366055,0,0,0,1,1,0.0
2010-01-14,17.347992,15.630035,16.255585,987.46704,984.0783,7.0739045,5.691365,82.15903,72.09314,0.1066461,0.6087204,16.883127848307293,12.937870570591517,15.407318115234375,11.514552525111608,987.52587890625,987.1424734933036,7.17734972635905,5.490123885018485,85.65766143798828,78.31790924072266,0.6786194,2.8443604,0.37908936,-1.4658203,-19.787254,-15.311951,1.7290638514927463,0.2386727660059501,0.9711000518829505,1.7179565,0.3245675223214448,0,0,0,0,0,0.0
2010-01-15,15.251984,10.054962,13.402791,995.4368,994.47534,1.4005215,0.9100702,89.59499,78.25466,0.020202326,0.8583312,16.423116048177082,13.777539934430804,14.80927848815918,12.3070707321167,989.9972737630209,988.8872855050223,4.740019241968791,4.869249718529837,80.74273173014323,81.31822204589844,-2.0960083,-1.3800354,7.9697876,7.4141846,6.161522,-14.744789,1.4679227556501122,0.255353295116187,0.9668478136052775,5.1970215,6.549543108258945,0,0,0,0,0,0.0
2010-01-16,16.68332,10.713074,14.538524,995.9544,995.2534,1.1376971,0.70536083,83.08445,74.169815,0.00027247838,0.93990237,16.427764892578125,14.812260219029017,14.7322998046875,13.331298828125,992.9527587890625,989.7305472237723,3.204041043917338,4.583228741373334,74.83920542399089,82.75219290597099,1.4313354,0.013946533,0.5175781,8.866455,-4.0848465,-17.710579,1.1596472603934163,0.2719581575341055,0.9623090774541486,5.9702454,6.223859514508945,0,0,0,0,0,0.0
