date,n_readings,temp_c_max,temp_c_min,temp_c_mean,pressure_hpa_mean,pressure_hpa_min,wind_speed_max,wind_speed_mean,humidity_max,humidity_mean,precip_mm_sum,cloud_cover_mean,pm2_5_mean
2026-04-29,9,19.8,16.66,18.078888888888894,1010.3333333333334,1010,6.17,4.452222222222222,94,83.44444444444444,0.0,0.6555555555555556,3.0733333333333333
2026-05-02,2,21.66,18.41,20.035,1015.0,1015,4.92,3.49,77,73.5,0.0,0.49,4.13
2026-05-03,8,23.3,19.06,21.73375,1013.875,1013,6.69,5.1325,77,56.5,0.0,0.73125,1.8512499999999998
2026-05-04,3,21.45,18.18,19.336666666666662,1015.3333333333334,1015,4.12,3.466666666666667,65,54.666666666666664,0.0,0.07,1.62
2026-05-05,3,21.06,16.6,19.233333333333334,1014.3333333333334,1013,2.68,2.1300000000000003,54,47.0,0.0,0.0,1.3233333333333335
2026-05-06,3,22.42,17.57,20.349999999999998,1010.6666666666666,1009,4.63,3.1233333333333335,56,45.666666666666664,0.0,0.0,2.0
2026-05-07,3,21.87,17.87,19.313333333333333,1010.6666666666666,1010,5.66,4.453333333333334,72,61.666666666666664,0.0,0.6,2.243333333333333
2026-05-08,3,20.62,16.38,18.599999999999998,1011.0,1010,3.6,3.1,73,57.333333333333336,0.0,0.4666666666666666,2.6199999999999997
2026-05-09,3,18.5,17.0,17.763333333333332,1011.0,1010,7.72,6.1499999999999995,78,77.66666666666667,0.25,0.38,2.066666666666667
2026-05-10,3,19.78,16.09,17.956666666666667,1014.3333333333334,1013,7.72,5.14,90,74.66666666666667,0.0,0.6,0.81
2026-05-11,3,21.99,17.94,19.549999999999997,1017.0,1016,4.92,3.5766666666666667,65,57.666666666666664,0.0,0.2,0.9500000000000001
2026-05-12,3,21.03,17.03,18.796666666666667,1019.6666666666666,1019,5.14,3.5033333333333334,81,69.66666666666667,0.0,0.2,0.85
2026-05-13,3,21.93,17.66,19.570000000000004,1018.3333333333334,1016,3.6,2.606666666666667,77,64.33333333333333,0.0,0.31666666666666665,1.2066666666666668
2026-05-14,3,23.91,19.26,21.283333333333335,1011.6666666666666,1010,4.92,3.1300000000000003,68,57.0,0.0,0.0,4.010000000000001
2026-05-15,3,22.41,18.39,20.336666666666666,1011.0,1010,3.6,2.72,64,58.0,0.0,0.24,3.893333333333333
2026-05-16,3,22.14,17.43,20.506666666666664,1015.3333333333334,1015,6.69,3.936666666666667,72,60.333333333333336,0.0,0.0,4.31
2026-05-17,3,22.94,19.75,20.826666666666668,1015.3333333333334,1015,4.92,3.5766666666666667,61,53.666666666666664,0.0,0.01,2.486666666666667
2026-05-18,3,24.72,18.95,21.646666666666665,1019.0,1018,4.47,3.3766666666666665,59,51.333333333333336,0.0,0.0,3.1966666666666668
2026-05-19,3,25.94,22.43,24.10666666666667,1020.3333333333334,1020,3.09,2.5733333333333337,51,42.0,0.0,0.0,4.136666666666667
2026-05-20,3,31.12,25.86,27.643333333333334,1020.3333333333334,1020,4.12,3.26,42,34.666666666666664,0.0,0.0,8.743333333333332
2026-05-21,3,33.36,26.94,29.67,1020.0,1019,6.69,4.633333333333334,34,28.0,0.0,0.0,4.466666666666667
2026-05-22,3,33.11,27.72,29.97,1019.0,1018,5.14,4.726666666666667,33,29.333333333333332,0.0,0.023333333333333334,4.57
2026-05-23,3,31.04,24.21,28.62,1019.6666666666666,1018,5.36,3.563333333333334,45,37.0,0.0,0.35,4.793333333333334
2026-05-24,3,30.98,26.16,29.016666666666666,1019.6666666666666,1019,4.47,3.31,36,33.0,0.0,0.5366666666666666,5.4433333333333325
2026-05-25,3,31.38,27.64,29.173333333333332,1021.3333333333334,1021,2.68,2.3466666666666662,40,35.333333333333336,0.0,0.48666666666666664,5.656666666666666
2026-05-26,3,33.71,28.16,30.34,1020.3333333333334,1019,3.13,2.646666666666667,39,33.666666666666664,0.0,0.08666666666666666,6.473333333333334
2026-05-27,2,29.61,26.76,28.185000000000002,1017.5,1016,4.63,2.54,41,36.0,0.0,0.05,7.105
2026-05-28,2,28.23,25.02,26.625,1019.5,1019,2.24,1.79,55,44.5,0.0,0.04,11.385
2026-05-29,2,31.06,27.79,29.424999999999997,1019.0,1018,4.63,3.21,40,35.0,0.0,0.0,13.885
2026-05-30,2,30.89,26.23,28.560000000000002,1018.5,1017,4.12,3.4000000000000004,52,47.5,0.0,0.0,12.685
2026-05-31,2,35.06,28.39,31.725,1016.0,1014,4.12,3.3449999999999998,43,35.0,0.0,0.0,11.89
2026-06-01,2,34.89,25.84,30.365000000000002,1014.5,1014,2.68,1.7850000000000001,51,38.5,0.0,0.105,9.850000000000001
2026-06-02,2,28.46,27.1,27.78,1015.5,1015,3.13,3.11,40,36.0,0.0,0.455,3.6450000000000005
2026-06-03,2,29.43,23.54,26.485,1016.5,1016,1.79,1.12,51,42.5,0.0,0.035,6.055
2026-06-04,2,28.56,26.29,27.424999999999997,1013.0,1011,3.58,2.015,51,43.0,0.0,0.205,4.215
2026-06-05,2,25.43,23.88,24.655,1013.5,1013,2.68,2.0100000000000002,53,48.0,0.0,0.155,4.05
2026-06-06,2,25.16,24.07,24.615000000000002,1016.0,1015,3.65,2.495,42,36.0,0.0,0.515,4.545
2026-06-07,2,26.36,26.32,26.34,1017.5,1017,5.65,3.495,61,58.0,0.0,0.515,7.195
2026-06-08,2,29.37,27.36,28.365000000000002,1017.0,1015,3.13,2.9050000000000002,49,44.0,0.0,0.13,6.43
2026-06-09,2,29.43,25.95,27.689999999999998,1014.0,1013,4.92,3.355,60,52.0,0.0,0.25,6.135
2026-06-10,2,28.33,25.77,27.049999999999997,1014.5,1014,4.31,2.8249999999999997,66,57.5,0.0,0.375,11.135000000000002
2026-06-11,2,31.11,29.79,30.45,1017.0,1017,1.34,1.115,52,50.0,0.0,0.035,5.23
2026-06-12,2,31.56,28.73,30.145,1017.5,1016,4.47,3.355,37,36.0,0.0,0.66,4.529999999999999
2026-06-13,2,29.77,29.06,29.415,1016.5,1015,4.02,4.02,46,40.5,0.0,0.275,5.29
